"","Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"1",2018-07-31,11311.05,11366,11267.75,11356.5,264430889,15297.4
"2",2018-07-30,11296.65,11328.1,11261.45,11319.55,287435926,14716.66
"3",2018-07-27,11232.75,11283.4,11210.25,11278.35,324343457,15203.09
"4",2018-07-26,11132.95,11185.85,11125.7,11167.3,376657398,21595.33
"5",2018-07-25,11148.4,11157.15,11113.25,11132,212333169,12528.8
"6",2018-07-24,11109,11143.4,11092.5,11134.3,212247395,13931.15
"7",2018-07-20,10963.5,11030.25,10946.2,11010.2,193144113,14105.94
"8",2018-07-19,10999.5,11006.5,10935.45,10957.1,222056399,12199.98
"9",2018-07-18,11060.2,11076.2,10956.3,10980.45,232502459,13320.2
"10",2018-07-17,10939.65,11018.5,10925.6,11008.05,217107580,12649.4
"11",2018-07-16,11018.95,11019.5,10926.25,10936.85,216971413,13709.57
"12",2018-07-13,11056.9,11071.35,10999.75,11018.9,241670818,14744.56
"13",2018-07-12,11006.95,11078.3,10999.65,11023.2,256034815,15787.28
"14",2018-07-11,10956.4,10976.65,10923,10948.3,229211999,15944.45
"15",2018-07-10,10902.75,10956.9,10876.65,10947.25,203061980,12834.85
"16",2018-07-09,10838.3,10860.35,10807.15,10852.9,189331016,10843.92
"17",2018-07-06,10744.15,10816.35,10735.05,10772.65,256547706,14006.48
"18",2018-07-05,10786.05,10786.05,10726.25,10749.75,227267176,13676.58
"19",2018-07-04,10715,10777.15,10677.75,10769.9,179268271,10388.69
"20",2018-07-03,10668.6,10713.3,10630.25,10699.9,208371545,10896.89
"21",2018-07-02,10732.35,10736.15,10604.65,10657.3,304536687,13591.3
"22",2018-06-29,10612.85,10723.05,10612.35,10714.3,250327878,14440.17
"23",2018-06-28,10660.8,10674.2,10557.7,10589.1,363157327,20187.98
"24",2018-06-27,10785.5,10785.5,10652.4,10671.4,253620792,13837.03
"25",2018-06-26,10742.7,10805.25,10732.55,10769.15,226846382,12113.53
"26",2018-06-25,10822.9,10831.05,10753.05,10762.45,236693278,12012.41
"27",2018-06-22,10742.7,10837,10710.45,10821.85,NA,NA
"28",2018-06-21,10808.45,10809.6,10725.9,10741.1,NA,NA
"29",2018-06-20,10734.65,10781.8,10724.05,10772.05,199467082,10858.35
"30",2018-06-19,10789.45,10789.45,10701.2,10710.45,231382790,12290.16
"31",2018-06-18,10830.2,10830.2,10787.35,10799.85,202727202,11182.48
"32",2018-06-14,10832.9,10833.7,10773.55,10808.05,190031664,11659.79
"33",2018-06-13,10887.5,10893.25,10842.65,10856.7,220003032,12982.8
"34",2018-06-12,10816.15,10856.55,10789.4,10842.85,204419184,11989.07
"35",2018-06-11,10781.85,10850.55,10777.05,10786.95,NA,NA
"36",2018-06-08,10736.4,10779.45,10709.05,10767.65,NA,NA
"37",2018-06-07,10722.6,10818,10722.6,10768.35,227663151,11315.24
"38",2018-06-06,10603.45,10698.35,10587.5,10684.65,195761429,9920.75
"39",2018-06-05,10630.7,10633.15,10550.9,10593.15,172898027,10027.54
"40",2018-06-04,10765.95,10770.3,10618.35,10628.5,NA,NA
"41",2018-06-01,10738.45,10764.75,10681.5,10696.2,227355567,12965.01
"42",2018-05-31,10670.1,10763.8,10620.4,10736.15,629198569,29479.77
"43",2018-05-30,10579,10648.7,10558.45,10614.35,246124259,12224.76
"44",2018-05-29,10689.4,10717.25,10616.1,10633.3,232761575,11817.39
"45",2018-05-28,10648.35,10709.8,10640.55,10688.65,239786001,11764.35
"46",2018-05-25,10533.05,10628.05,10524,10605.15,268914888,12431.16
"47",2018-05-24,10464.85,10535.15,10419.8,10513.85,306792497,12914.16
"48",2018-05-23,10521.1,10533.55,10417.8,10430.35,299919120,13456.6
"49",2018-05-22,10518.45,10558.6,10490.55,10536.7,249236637,12017.36
"50",2018-05-21,10616.7,10621.7,10505.8,10516.7,197294184,11346.13
"51",2018-05-18,10671.85,10674.95,10589.1,10596.4,229908939,13908.47
"52",2018-05-17,10775.6,10777.25,10664.5,10682.7,220738923,12506.3
"53",2018-05-16,10751.95,10790.45,10699.7,10741.1,238221884,11359.48
